tool_name,capability,description,group
actionlint,unexpected-keys,Detects unknown or unsupported keys used in the workflow file,workflow_structural_validation
actionlint,missing-required-or-duplicate-keys,Detects missing required keys or duplicate key declarations in the workflow,workflow_structural_validation
actionlint,empty-mapping,Detects empty mappings where values are expected in the workflow structure,workflow_structural_validation
actionlint,unexpected-mapping-values,Detects mapping values that do not match the expected format,workflow_structural_validation
actionlint,syntax-check-expression,Detects expressions with invalid syntax in conditional or evaluated fields,control-flow-validation
actionlint,type-check-expression,Detects expressions with incompatible or invalid data types,control-flow-validation
actionlint,contexts-and-builtin-functions,Detects usage of unknown or invalid contexts and functions in expressions,workflow_structural_validation
actionlint,contextual-step-object,Detects invalid access to the steps context outside of its allowed scope,workflow_structural_validation
actionlint,contextual-matrix-object,Detects misuse of matrix context fields in non-matrix jobs or expressions,workflow_structural_validation
actionlint,contextual-needs-object,Detects invalid usage of the needs context for accessing outputs across jobs,workflow_structural_validation
actionlint,comparison-type-checks,Detects comparisons between incompatible data types in expressions,control-flow-validation
actionlint,shellcheck-integration,Detects shell script issues in run steps using shellcheck analysis,workflow_structural_validation
actionlint,pyflakes-integration,Detects Python syntax issues in run steps using pyflakes analysis,workflow_structural_validation
actionlint,untrusted-inputs,Detects use of untrusted user input directly in shell commands,injection_and_execution_risks
actionlint,job-dependencies-validation,Detects invalid or misconfigured job dependencies using needs,workflow_structural_validation
actionlint,matrix-values,Detects malformed or invalid matrix configuration values,workflow_structural_validation
actionlint,webhook-events-validation,Detects misconfigured or unknown webhook event triggers,workflow_structural_validation
actionlint,workflow-dispatch-validation,Detects invalid input definitions or parameters in workflow_dispatch,workflow_structural_validation
actionlint,glob-pattern-syntax,Detects incorrect glob pattern syntax in filters or paths,workflow_structural_validation
actionlint,cron-syntax-check,Detects invalid cron expressions used in schedule triggers,workflow_structural_validation
actionlint,runner-label-validation,Detects invalid or non-existent runner labels in the runs-on field,workflow_structural_validation
actionlint,action-format-check,Detects incorrect action reference format in uses field,workflow_structural_validation
actionlint,local-action-inputs-validation,Detects missing or invalid inputs for locally defined actions,workflow_structural_validation
actionlint,popular-action-inputs-validation,Detects incorrect or incomplete inputs for well-known third-party actions,workflow_structural_validation
actionlint,outdated-popular-actions-detection,Detects usage of unpinned or outdated versions of popular actions,pinning_and_dependency_control
actionlint,shell-name-validation,Detects invalid or unsupported shell names used in run steps,workflow_structural_validation
actionlint,job-step-id-uniqueness,Detects duplicate step IDs within the same job,workflow_structural_validation
actionlint,hardcoded-credentials,Detects hardcoded secrets such as tokens or passwords in the workflow,secrets_exposure
actionlint,env-var-names,Detects invalid or misformatted environment variable names,workflow_structural_validation
actionlint,permissions-validation,Detects missing or over-permissive values in the permissions field,permissions_scope_validation
actionlint,reusable-workflow-validation,Detects invalid structure or input configuration in reusable workflows,workflow_structural_validation
actionlint,id-naming-convention,Detects identifiers that do not follow valid naming conventions,workflow_structural_validation
actionlint,context-and-function-availability,Detects use of unavailable contexts or functions in workflow expressions,workflow_structural_validation
actionlint,deprecated-workflow-commands,Detects usage of deprecated workflow command syntax,injection_and_execution_risks
