file,actionlint,frizbee,ggshield,pinny,poutine,scharf,scorecard,semgrep,zizmor
AUTOMATIC1111_stable-diffusion-webui__on_pull_request.yaml,0.2639,1.0991,1.1763,0.0077,0.2714,0.0036,0.3329,13.6849,0.1257
AUTOMATIC1111_stable-diffusion-webui__run_tests.yaml,0.2718,1.048,1.1137,0.0053,0.2692,0.0181,0.344,17.2431,0.1183
AUTOMATIC1111_stable-diffusion-webui__warns_merge_master.yml,0.2657,0.009,1.2135,0.0053,0.2769,0.0063,0.3529,13.2363,0.1203
Chalarangelo_30-seconds-of-code__deploy-production.yml,0.2771,0.6517,1.3649,0.0076,0.3322,0.0063,0.3958,13.0557,0.1301
Chalarangelo_30-seconds-of-code__label.yml,0.2647,0.4497,1.1521,0.0087,0.2477,0.0049,0.3142,12.951,0.1293
Chalarangelo_30-seconds-of-code__stale.yml,0.2647,0.4737,1.1512,0.0102,0.2642,0.0053,0.312,13.7696,0.1279
Chalarangelo_30-seconds-of-code__test.yml,0.2646,0.6467,2.2097,0.0098,0.2989,0.0042,0.3228,12.4586,0.1492
EbookFoundation_free-programming-books__check-urls.yml,0.2742,1.7392,1.1513,0.006,0.2573,0.0059,0.3056,16.6176,0.1271
EbookFoundation_free-programming-books__comment-pr.yml,0.2624,0.5886,1.1739,0.0054,0.2627,0.007,0.3586,17.7563,0.1298
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,0.2824,0.6274,1.1567,0.0055,0.2649,0.0053,0.3338,15.8499,0.1511
EbookFoundation_free-programming-books__fpb-lint.yml,0.2627,0.9689,1.1919,0.0059,0.2628,0.0071,0.3711,17.0183,0.124
EbookFoundation_free-programming-books__issues-pinner.yml,0.2681,0.5901,1.1336,0.0061,0.2608,0.0044,0.3191,13.0294,0.1269
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,0.267,1.0446,1.1344,0.0097,0.2646,0.0044,0.3469,13.5265,0.1329
EbookFoundation_free-programming-books__stale.yml,0.2634,0.431,1.2305,0.0046,0.2758,0.0053,0.3197,13.3657,0.1261
Genymobile_scrcpy__release.yml,0.2739,1.2675,1.325,0.0116,0.2401,0.0049,0.332,13.1166,0.1312
IBM_sarama__apidiff.yml,0.2666,0.0307,1.1012,0.0088,0.2543,0.0045,0.5377,13.7138,0.1309
IBM_sarama__cache-cleanup.yml,0.2596,0.01,1.1824,0.0055,0.2447,0.0053,0.3766,13.2846,0.1279
IBM_sarama__ci.yml,0.2625,0.0363,1.2901,0.0132,0.3469,0.0045,0.518,14.857,0.1221
IBM_sarama__codeql-analysis.yml,0.2606,0.0095,1.1674,0.0064,0.2501,0.0044,0.3273,14.9553,0.122
IBM_sarama__dependency-review.yml,0.2627,0.0106,1.0967,0.0061,0.2807,0.0045,0.3315,20.783,0.1206
IBM_sarama__fuzz.yml,0.2614,0.0284,1.1309,0.0051,0.2473,0.0062,0.3394,13.55,0.1179
IBM_sarama__fvt-main.yml,0.2654,0.0215,1.136,0.0048,0.2554,0.0057,0.3138,13.1708,0.1209
IBM_sarama__fvt-pr.yml,0.266,0.0103,1.1021,0.0055,0.2539,0.0037,0.3152,16.6733,0.1192
IBM_sarama__fvt.yml,0.2669,0.0212,1.1494,0.0075,0.2471,0.0081,0.3322,14.0503,0.1309
IBM_sarama__i386.yml,0.2112,0.0051,2.2446,0.0105,0.2559,0.0047,0.3151,13.5697,0.1521
IBM_sarama__scorecard.yml,0.2471,0.0217,1.1749,0.0063,0.2526,0.0039,0.4707,13.1377,0.1287
IBM_sarama__stale.yml,0.259,0.0171,1.1388,0.0064,0.2744,0.005,0.3411,18.3308,0.1326
NVIDIA_cutlass__blossom-ci.yml,0.2754,0.9486,1.1691,0.0062,0.2644,0.0044,0.3561,12.7359,0.1307
NVIDIA_cutlass__labeler.yml,0.273,0.6428,1.1283,0.006,0.2492,0.0071,0.3111,12.6,0.1137
