file,execution_time_seconds
oracle_graal__main.yml,0.3644
huggingface_transformers__build_pr_documentation.yml,0.3441
oracle_docker-images__build-and-push-instantclient-images.yml,0.308
nodejs_node__find-inactive-tsc.yml,0.2774
yt-dlp_yt-dlp__quick-test.yml,0.2686
twbs_bootstrap__lint.yml,0.2753
electron_electron__pipeline-electron-build-and-test-and-nan.yml,0.2147
twbs_bootstrap__issue-labeled.yml,0.2634
facebook_react__shared_label_core_team_prs.yml,0.2519
facebook_react__compiler_typescript.yml,0.2706
huggingface_transformers__self-past-caller.yml,0.3144
electron_electron__pipeline-segment-electron-gn-check.yml,0.2874
n8n-io_n8n__e2e-reusable.yml,0.2835
Chalarangelo_30-seconds-of-code__deploy-production.yml,0.2771
denoland_deno__start_release.yml,0.2857
denoland_deno__ci.yml,0.2845
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,0.2867
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,0.2774
vercel_next.js__build_and_test.yml,0.2136
huggingface_transformers__stale.yml,0.2788
facebook_fbthrift__getdeps_linux.yml,0.2838
microsoft_vscode__no-package-lock-changes.yml,0.2677
n8n-io_n8n__benchmark-nightly.yml,0.2628
flutter_flutter__merge-changelog.yml,0.2229
facebook_rocksdb__pr-jobs-candidate.yml,0.2716
google_dagger__release.yml,0.3861
NVIDIA_k8s-device-plugin__publish-helm.yaml,0.2203
Significant-Gravitas_AutoGPT__classic-python-checks.yml,0.2678
avelino_awesome-go__tests.yaml,0.2713
IBM_sarama__ci.yml,0.2625
avelino_awesome-go__check-for-spammy-issues.yml,0.2307
huggingface_transformers__self-push-amd-mi210-caller.yml,0.2754
google_auto__ci.yml,0.2884
google_go-github__tests.yml,0.3044
huggingface_transformers__self-comment-ci.yml,0.2814
facebook_folly__oss-build-and-test.yml,0.2813
ytdl-org_youtube-dl__ci.yml,0.2854
nodejs_node__timezone-update.yml,0.2701
TheAlgorithms_Python__sphinx.yml,0.2688
ollama_ollama__release.yaml,0.294
langgenius_dify__docker-build.yml,0.2808
tensorflow_tensorflow__update-rbe.yml,0.2835
langchain-ai_langchain__check_new_docs.yml,0.2814
tensorflow_tensorflow__update-nightly.yml,0.2749
NVIDIA_k8s-device-plugin__stale.yaml,0.3026
facebook_react-native__stale-bot.yml,0.2966
excalidraw_excalidraw__cancel.yml,0.2134
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,0.3088
oracle_opengrok__codeql-analysis.yml,0.2829
facebook_react__shared_lint.yml,0.2785
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,0.2727
huggingface_transformers__model_jobs.yml,0.2764
Significant-Gravitas_AutoGPT__repo-workflow-checker.yml,0.2514
huggingface_transformers__slack-report.yml,0.2776
mrdoob_three.js__ci.yml,0.2773
excalidraw_excalidraw__size-limit.yml,0.2797
n8n-io_n8n__check-documentation-urls.yml,0.2973
freeCodeCamp_freeCodeCamp__deploy-client.yml,0.2834
langchain-ai_langchain__check_core_versions.yml,0.2801
TheAlgorithms_Python__build.yml,0.2679
krahets_hello-algo__ruby.yml,0.2689
electron_electron__linux-publish.yml,0.272
nodejs_node__tools.yml,0.2676
huggingface_transformers__self-scheduled-amd-caller.yml,0.268
alibaba_tengine__test-ntls.yml,0.2678
freeCodeCamp_freeCodeCamp__docker-docr-cleanup.yml,0.2714
n8n-io_n8n__release-push-to-channel.yml,0.2619
public-apis_public-apis__test_of_push_and_pull.yml,0.2722
facebook_react-native__publish-release.yml,0.2579
facebook_watchman__release.yml,0.284
NVIDIA_k8s-device-plugin__basic-checks.yaml,0.267
vercel_next.js__test_e2e_deploy_release.yml,0.2179
rust-lang_rust__ci.yml,0.2172
krahets_hello-algo__c.yml,0.2642
n8n-io_n8n__ci-pull-requests.yml,0.2716
facebook_react__shared_cleanup_stale_branch_caches.yml,0.2575
n8n-io_n8n__check-run-eligibility.yml,0.2664
IBM_sarama__i386.yml,0.2112
axios_axios__codeql-analysis.yml,0.2656
alibaba_transmittable-thread-local__strong_ci.yaml,0.2713
twbs_bootstrap__docs.yml,0.1976
axios_axios__sponsors.yml,0.2557
freeCodeCamp_freeCodeCamp__curriculum-i18n-submodule.yml,0.2907
n8n-io_n8n__check-pr-title.yml,0.2652
facebook_rocksdb__benchmark-linux.yml,0.1897
huggingface_transformers__build-docker-images.yml,0.2669
n8n-io_n8n__units-tests-reusable.yml,0.2683
nodejs_node__auto-start-ci.yml,0.273
microsoft_PowerToys__package-submissions.yml,0.2808
excalidraw_excalidraw__autorelease-excalidraw.yml,0.2785
n8n-io_n8n__e2e-tests-pr.yml,0.2667
facebook_react__compiler_prereleases_manual.yml,0.2184
facebook_react-native__monitor-new-issues.yml,0.2757
oracle_opengrok__apiary.yml,0.2635
huggingface_transformers__self-scheduled.yml,0.2676
vercel_next.js__retry_test.yml,0.2801
nodejs_node__coverage-linux.yml,0.2737
facebook_watchman__package.yml,0.238
facebook_react-native__test-libraries-on-nightlies.yml,0.1985
nodejs_node__close-stale-feature-requests.yml,0.2586
goldbergyoni_nodebestpractices__automerge-prs.yml,0.2654
Significant-Gravitas_AutoGPT__classic-forge-ci.yml,0.2701
twbs_bootstrap__css.yml,0.2588
oracle_graal__quarkus.yml,0.2725
flutter_flutter__content-aware-hash.yml,0.2664
vercel_next.js__build_reusable.yml,0.2653
google_blockly__assign_reviewers.yml,0.2667
huggingface_transformers__self-scheduled-caller.yml,0.2874
avelino_awesome-go__site-deploy.yaml,0.206
huggingface_transformers__add-model-like.yml,0.2658
Significant-Gravitas_AutoGPT__platform-autgpt-deploy-prod.yml,0.2758
denoland_deno__promote_to_release.yml,0.2653
electron_electron__pipeline-electron-lint.yml,0.267
Significant-Gravitas_AutoGPT__classic-autogpt-docker-cache-clean.yml,0.2708
huggingface_transformers__update_metdata.yml,0.2683
freeCodeCamp_freeCodeCamp__i18n-validate-builds.yml,0.2657
facebook_create-react-app__lint.yml,0.2679
vercel_next.js__code_freeze.yml,0.2708
electron_electron__build-git-cache.yml,0.2715
nodejs_node__update-wpt.yml,0.2038
huggingface_transformers__model_jobs_intel_gaudi.yml,0.2877
facebook_mcrouter__build.yml,0.2604
nodejs_node__update-release-links.yml,0.2712
tensorflow_tensorflow__cffconvert.yml,0.2646
krahets_hello-algo__python.yml,0.2651
facebook_react-native__autorebase.yml,0.2735
axios_axios__publish.yml,0.2764
vercel_next.js__trigger_release.yml,0.2627
oracle_opengrok__release.yml,0.2057
IBM_sarama__apidiff.yml,0.2666
huggingface_transformers__build-nightly-ci-docker-images.yml,0.23
facebook_react-native__on-issue-labeled.yml,0.2618
vercel_next.js__graphite_ci_optimizer.yml,0.2455
nodejs_node__create-release-proposal.yml,0.2895
krahets_hello-algo__java.yml,0.2588
nodejs_node__test-macos.yml,0.2645
freeCodeCamp_freeCodeCamp__crowdin-download.client-ui.yml,0.2702
NVIDIA_k8s-device-plugin__e2e.yaml,0.2695
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,0.266
Chalarangelo_30-seconds-of-code__stale.yml,0.2647
krahets_hello-algo__go.yml,0.2802
facebook_react__runtime_build_and_test.yml,0.2728
electron_electron__issue-transferred.yml,0.2725
microsoft_TypeScript__pr-modified-files.yml,0.2603
krahets_hello-algo__dart.yml,0.2663
langgenius_dify__db-migration-test.yml,0.2622
huggingface_transformers__check_failed_tests.yml,0.2846
langchain-ai_langchain__run_notebooks.yml,0.2646
IBM_sarama__fvt-main.yml,0.2654
vercel_next.js__test_examples.yml,0.2605
rust-lang_rust__post-merge.yml,0.2084
nodejs_node__linters.yml,0.2643
NVIDIA_cutlass__blossom-ci.yml,0.2754
facebook_watchman__getdeps_linux.yml,0.2762
microsoft_TypeScript__twoslash-repros.yaml,0.2668
freeCodeCamp_freeCodeCamp__github-autoclose.yml,0.2763
oracle_opengrok__javadoc.yml,0.2721
facebook_folly__getdeps_windows.yml,0.2099
langgenius_dify__style.yml,0.2701
facebook_facebook-android-sdk__needs-attention.yml,0.2928
huggingface_transformers__doctest_job.yml,0.2681
microsoft_TypeScript__copilot-setup-steps.yml,0.2704
yangshun_tech-interview-handbook__lint.yml,0.2756
huggingface_transformers__benchmark.yml,0.2697
Significant-Gravitas_AutoGPT__repo-stats.yml,0.2675
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,0.2595
microsoft_terminal__addToProject.yml,0.2668
google_blockly__browser_test.yml,0.2399
facebook_react__compiler_discord_notify.yml,0.2643
electron_electron__pipeline-electron-build-and-test.yml,0.2099
twbs_bootstrap__cspell.yml,0.2141
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,0.2672
microsoft_TypeScript__ci.yml,0.2938
krahets_hello-algo__rust.yml,0.2542
huggingface_transformers__doctests.yml,0.2746
denoland_deno__post_publish.yml,0.2656
electron_electron__pull-request-labeled.yml,0.2772
langchain-ai_langchain___compile_integration_test.yml,0.2694
alibaba_druid__ci.yaml,0.2742
vercel_next.js__integration_tests_reusable.yml,0.2666
yt-dlp_yt-dlp__core.yml,0.2712
electron_electron__stable-prep-items.yml,0.2619
langchain-ai_langchain___test_pydantic.yml,0.2658
avelino_awesome-go__run-check.yaml,0.206
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,0.2824
electron_electron__macos-publish.yml,0.2294
trekhleb_javascript-algorithms__CI.yml,0.2068
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,0.2685
n8n-io_n8n__test-workflows-nightly.yml,0.2587
alibaba_tengine__test-nginx-core.yml,0.2734
facebook_rocksdb__nightly.yml,0.2696
jwasham_coding-interview-university__links_checker.yml,0.2698
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,0.2707
n8n-io_n8n__notify-pr-status.yml,0.2351
TheAlgorithms_Python__ruff.yml,0.2251
facebook_react__shared_check_maintainer.yml,0.2093
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,0.2676
electron_electron__pipeline-segment-node-nan-test.yml,0.2746
twbs_bootstrap__codeql.yml,0.2572
nodejs_node__license-builder.yml,0.2664
nodejs_node__label-flaky-test-issue.yml,0.2623
vercel_next.js__test-turbopack-rust-bench-test.yml,0.263
microsoft_TypeScript__error-deltas-watchdog.yaml,0.267
facebook_facebook-ios-sdk__stale.yml,0.2666
ossu_computer-science__delete-empty-issues.yml,0.2639
yt-dlp_yt-dlp__sanitize-comment.yml,0.267
open-webui_open-webui__docker-build.yaml,0.255
huggingface_transformers__self-nightly-caller.yml,0.2821
langchain-ai_langchain__people.yml,0.2721
awslabs_amazon-ecr-credential-helper__build.yaml,0.2649
langchain-ai_langchain___test_release.yml,0.2947
google_truth__ci.yml,0.2648
n8n-io_n8n__benchmark-destroy-nightly.yml,0.2707
langchain-ai_langchain___test.yml,0.2671
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,0.267
n8n-io_n8n__e2e-tests.yml,0.2568
excalidraw_excalidraw__locales-coverage.yml,0.2785
nodejs_node__close-stalled.yml,0.2202
facebook_react__runtime_prereleases.yml,0.2693
vuejs_vue__ci.yml,0.2624
krahets_hello-algo__swift.yml,0.2595
airbnb_javascript__require-allow-edits.yml,0.2028
freeCodeCamp_freeCodeCamp__github-no-web-commits.yml,0.2665
google_blockly__welcome_new_contributors.yml,0.2287
nodejs_node__doc.yml,0.2618
microsoft_TypeScript__sync-branch.yaml,0.2674
excalidraw_excalidraw__publish-docker.yml,0.2637
flutter_flutter__labeler.yml,0.2704
Genymobile_scrcpy__release.yml,0.2739
f_awesome-chatgpt-prompts__ai_bot.yml,0.2679
microsoft_vscode__monaco-editor.yml,0.2652
freeCodeCamp_freeCodeCamp__github-spam.yml,0.2647
oracle_graal__micronaut.yml,0.2697
facebook_react-native__needs-attention.yml,0.2642
google_grr__publish-pypi.yml,0.2642
Chalarangelo_30-seconds-of-code__test.yml,0.2646
tensorflow_tensorflow__arm-ci-extended.yml,0.29
rust-lang_rust__dependencies.yml,0.266
Chalarangelo_30-seconds-of-code__label.yml,0.2647
facebook_react__runtime_discord_notify.yml,0.2667
twbs_bootstrap__calibreapp-image-actions.yml,0.269
google_grr__build.yml,0.271
huggingface_transformers__release-conda.yml,0.2618
denoland_deno__wpt_epoch.yml,0.2052
airbnb_javascript__node.yml,0.2662
langchain-ai_langchain___lint.yml,0.2718
vercel_next.js__turbopack-nextjs-build-integration-tests.yml,0.2615
oracle_truffleruby__ci.yml,0.2682
facebook_react-native__prebuild-ios-dependencies.yml,0.2077
n8n-io_n8n__chromatic.yml,0.29
NVIDIA_cutlass__stale.yml,0.2652
yt-dlp_yt-dlp__issue-lockdown.yml,0.262
n8n-io_n8n__test-workflows-callable.yml,0.2585
nodejs_node__update-openssl.yml,0.2217
AUTOMATIC1111_stable-diffusion-webui__on_pull_request.yaml,0.2639
microsoft_TypeScript__accept-baselines-fix-lints.yaml,0.2649
facebook_react-native__create-draft-release.yml,0.2072
nodejs_node__scorecard.yml,0.2115
facebook_react__runtime_fuzz_tests.yml,0.261
Significant-Gravitas_AutoGPT__repo-pr-label.yml,0.261
freeCodeCamp_freeCodeCamp__i18n-validate-prs.yml,0.2699
facebook_react-native__publish-bumped-packages.yml,0.2622
electron_electron__windows-publish.yml,0.2849
IBM_sarama__cache-cleanup.yml,0.2596
nodejs_node__close-stale-pull-requests.yml,0.2705
NVIDIA_k8s-device-plugin__ci.yaml,0.2678
vercel_next.js__rspack-nextjs-build-integration-tests.yml,0.266
d3_d3__test.yml,0.2653
freeCodeCamp_freeCodeCamp__github-no-i18n-via-prs.yml,0.2642
Significant-Gravitas_AutoGPT__classic-autogpt-docker-ci.yml,0.2645
huggingface_transformers__self-push-caller.yml,0.2629
flutter_flutter__lock.yaml,0.266
d3_d3__deploy.yml,0.2669
twbs_bootstrap__bundlewatch.yml,0.2687
facebook_rocksdb__nightly-candidate.yml,0.283
facebook_react-native__danger-pr.yml,0.2644
electron_electron__clean-src-cache.yml,0.2647
nodejs_node__build-tarball.yml,0.2686
n8n-io_n8n__ci-master.yml,0.3193
vercel_next.js__build_and_deploy.yml,0.2762
excalidraw_excalidraw__autorelease-preview.yml,0.2616
microsoft_TypeScript__insiders.yaml,0.2707
microsoft_PowerToys__dependency-review.yml,0.2067
airbnb_javascript__rebase.yml,0.2595
microsoft_TypeScript__create-cherry-pick-pr.yml,0.2622
facebook_react-native__bump-podfile-lock.yml,0.2355
flutter_flutter__tool-test-general.yml,0.2653
oracle_docker-images__build-and-push-dev-images.yml,0.2866
vercel_next.js__update_fonts_data.yml,0.2806
microsoft_TypeScript__new-release-branch.yaml,0.2713
langgenius_dify__stale.yml,0.2645
EbookFoundation_free-programming-books__issues-pinner.yml,0.2681
tensorflow_tensorflow__stale-issues.yml,0.2681
freeCodeCamp_freeCodeCamp__node.js-tests.yml,0.2163
yangshun_tech-interview-handbook__tsc.yml,0.2691
nodejs_node__test-internet.yml,0.2048
flutter_flutter__files-changed.yml,0.3901
nodejs_node__lint-release-proposal.yml,0.2639
huggingface_transformers__trufflehog.yml,0.2038
vercel_next.js__upload-tests-manifest.yml,0.2704
microsoft_terminal__spelling2.yml,0.2768
microsoft_vscode__basic.yml,0.267
denoland_deno__cargo_publish.yml,0.2623
vercel_next.js__popular.yml,0.3111
nodejs_node__notify-on-push.yml,0.2023
huggingface_transformers__build_documentation.yml,0.263
freeCodeCamp_freeCodeCamp__docker-docr.yml,0.2675
tensorflow_tensorflow__osv-scanner-scheduled.yml,0.1944
nodejs_node__major-release.yml,0.272
awslabs_amazon-ecr-credential-helper__review-dependencies.yml,0.1986
krahets_hello-algo__kotlin.yml,0.268
nodejs_node__daily.yml,0.2044
google_jimfs__ci.yml,0.2667
microsoft_vscode__ci.yml,0.2511
electron_electron__pipeline-segment-electron-build.yml,0.2598
open-webui_open-webui__format-build-frontend.yaml,0.2591
facebook_react__runtime_releases_from_npm_manual.yml,0.2729
electron_electron__issue-labeled.yml,0.2573
microsoft_TypeScript__close-issues.yml,0.2768
axios_axios__pr-guard.yml,0.2632
huggingface_transformers__self-push-amd-mi250-caller.yml,0.2605
denoland_deno__npm_publish.yml,0.2485
axios_axios__depsreview.yaml,0.2637
f_awesome-chatgpt-prompts__csv_linter.yml,0.271
facebook_react-native__cache-reaper.yml,0.266
n8n-io_n8n__test-workflows-pr-comment.yml,0.2891
n8n-io_n8n__security-trivy-scan-callable.yml,0.2736
electron_electron__scorecards.yml,0.2637
facebook_react-native__check-nightly.yml,0.2465
tensorflow_tensorflow__arm-ci-extended-cpp.yml,0.2637
denoland_deno__node_compat_test.yml,0.2584
EbookFoundation_free-programming-books__stale.yml,0.2634
facebook_react__runtime_prereleases_nightly.yml,0.2158
huggingface_transformers__upload_pr_documentation.yml,0.2603
vercel_next.js__rspack-update-tests-manifest.yml,0.2622
facebook_react-native__test-all.yml,0.2368
facebook_react__shared_cleanup_merged_branch_caches.yml,0.2683
n8n-io_n8n__test-workflows-pr-approved.yml,0.3095
huggingface_transformers__assign-reviewers.yml,0.2864
tensorflow_tensorflow__release-branch-cherrypick.yml,0.2672
nodejs_node__coverage-linux-without-intl.yml,0.2693
flutter_flutter__coverage.yml,0.229
google_blockly__develop_freeze.yml,0.2104
