tool,file,real_median,cpu_median,real_min,real_max,cpu_frac_median,range_real
actionlint,Azure_AKS__.github__workflows__codespell.yml,0.53,0.08,0.51,0.57,0.1509433962264151,0.05999999999999994
actionlint,Azure_AKS__.github__workflows__website-check.yml,0.46,0.06,0.45,0.53,0.13043478260869565,0.08000000000000002
actionlint,Azure_AKS__.github__workflows__website-publish.yml,0.49,0.07,0.41,0.51,0.14285714285714288,0.10000000000000003
actionlint,Azure_Azure-Sentinel__.github__workflows__AddLabel.yaml,0.33,0.04,0.32,0.42,0.12121212121212122,0.09999999999999998
actionlint,Azure_Azure-Sentinel__.github__workflows__IssueComment.yml,0.5,0.07,0.41,0.58,0.14,0.16999999999999998
actionlint,Azure_Azure-Sentinel__.github__workflows__ScanSecrets.yaml,0.37,0.03,0.32,0.4,0.08108108108108109,0.08000000000000002
actionlint,Azure_Azure-Sentinel__.github__workflows__addComment.yaml,0.4,0.04,0.38,0.4,0.09999999999999999,0.020000000000000018
actionlint,Azure_Azure-Sentinel__.github__workflows__addCommentOnPackagedPR.yaml,0.38,0.04,0.37,0.41,0.10526315789473684,0.03999999999999998
actionlint,Azure_Azure-Sentinel__.github__workflows__addCommentToRemindUpdatingTemplateVersion.yml,0.41,0.05,0.41,0.42,0.12195121951219513,0.010000000000000009
actionlint,Azure_Azure-Sentinel__.github__workflows__addLabelOnPr.yaml,0.4,0.04,0.37,0.41,0.09999999999999999,0.03999999999999998
actionlint,Azure_Azure-Sentinel__.github__workflows__allowedWorkflowRun.yaml,0.4,0.04,0.37,0.43,0.09999999999999999,0.06
actionlint,Azure_Azure-Sentinel__.github__workflows__arm-ttk-validations.yaml,0.4,0.04,0.37,0.4,0.09999999999999999,0.030000000000000027
actionlint,Azure_Azure-Sentinel__.github__workflows__aws-s3-bundle-update.yaml,0.4,0.04,0.37,0.4,0.09999999999999999,0.030000000000000027
actionlint,Azure_Azure-Sentinel__.github__workflows__checkAutomatedPR.yaml,0.39,0.04,0.36,0.46,0.10256410256410256,0.10000000000000003
actionlint,Azure_Azure-Sentinel__.github__workflows__checkPRContentChange.yaml,0.4,0.04,0.33,0.45,0.09999999999999999,0.12
actionlint,Azure_Azure-Sentinel__.github__workflows__checkSkipPackagingInfo.yaml,0.4,0.04,0.36,0.45,0.09999999999999999,0.09000000000000002
actionlint,Azure_Azure-Sentinel__.github__workflows__cleanup-stale-branch.yaml,0.39,0.04,0.36,0.47,0.10256410256410256,0.10999999999999999
actionlint,Azure_Azure-Sentinel__.github__workflows__codeql-analysis.yml,0.46,0.05,0.42,0.51,0.10869565217391304,0.09000000000000002
actionlint,Azure_Azure-Sentinel__.github__workflows__content-validations.yaml,0.4,0.04,0.39,0.45,0.09999999999999999,0.06
actionlint,Azure_Azure-Sentinel__.github__workflows__convertKqlFunctionYamlToArmTemplate.yaml,0.4,0.04,0.29,0.44,0.09999999999999999,0.15000000000000002
actionlint,Azure_Azure-Sentinel__.github__workflows__data-connector-validations.yaml,0.39,0.04,0.32,0.46,0.10256410256410256,0.14
actionlint,Azure_Azure-Sentinel__.github__workflows__detection-template-schema-validations.yaml,0.43,0.04,0.38,0.47,0.09302325581395349,0.08999999999999997
actionlint,Azure_Azure-Sentinel__.github__workflows__detection-validations.yaml,0.4,0.04,0.39,0.51,0.09999999999999999,0.12
actionlint,Azure_Azure-Sentinel__.github__workflows__documents-link-validation.yaml,0.39,0.04,0.39,0.47,0.10256410256410256,0.07999999999999996
actionlint,Azure_Azure-Sentinel__.github__workflows__getSolutionName.yaml,0.4,0.04,0.37,0.46,0.09999999999999999,0.09000000000000002
actionlint,Azure_Azure-Sentinel__.github__workflows__hyperlinkValidator.yaml,0.48,0.04,0.37,0.56,0.08333333333333334,0.19000000000000006
actionlint,Azure_Azure-Sentinel__.github__workflows__json-syntax-validation.yaml,0.4,0.04,0.38,0.54,0.09999999999999999,0.16000000000000003
actionlint,Azure_Azure-Sentinel__.github__workflows__kql-validations.yaml,0.39,0.04,0.37,0.42,0.10256410256410256,0.04999999999999999
actionlint,Azure_Azure-Sentinel__.github__workflows__logo-validation.yaml,0.42,0.04,0.37,0.42,0.09523809523809525,0.04999999999999999
actionlint,Azure_Azure-Sentinel__.github__workflows__neworexistingsolution.yaml,0.4,0.04,0.37,0.43,0.09999999999999999,0.06
actionlint,Azure_Azure-Sentinel__.github__workflows__non-ascii-validations.yaml,0.4,0.04,0.4,0.42,0.09999999999999999,0.019999999999999962
actionlint,Azure_Azure-Sentinel__.github__workflows__package-command.yaml,0.4,0.04,0.37,0.44,0.09999999999999999,0.07
actionlint,Azure_Azure-Sentinel__.github__workflows__playbook-validations.yaml,0.4,0.04,0.37,0.41,0.09999999999999999,0.03999999999999998
actionlint,Azure_Azure-Sentinel__.github__workflows__pullRequestStatus.yaml,0.4,0.04,0.38,0.4,0.09999999999999999,0.020000000000000018
actionlint,Azure_Azure-Sentinel__.github__workflows__runAsimSchemaAndDataTesters.yaml,0.4,0.04,0.38,0.41,0.09999999999999999,0.02999999999999997
actionlint,Azure_Azure-Sentinel__.github__workflows__sample-data-validation.yaml,0.4,0.04,0.29,0.4,0.09999999999999999,0.11000000000000004
