file,execution_time_seconds
oracle_graal__main.yml,1.222
huggingface_transformers__build_pr_documentation.yml,0.6272
oracle_docker-images__build-and-push-instantclient-images.yml,0.4347
nodejs_node__find-inactive-tsc.yml,0.0096
yt-dlp_yt-dlp__quick-test.yml,0.5479
twbs_bootstrap__lint.yml,0.702
electron_electron__pipeline-electron-build-and-test-and-nan.yml,0.0267
twbs_bootstrap__issue-labeled.yml,0.3874
facebook_react__shared_label_core_team_prs.yml,1.7796
facebook_react__compiler_typescript.yml,1.1319
huggingface_transformers__self-past-caller.yml,0.0182
electron_electron__pipeline-segment-electron-gn-check.yml,0.0246
n8n-io_n8n__e2e-reusable.yml,0.0216
Chalarangelo_30-seconds-of-code__deploy-production.yml,0.6517
denoland_deno__start_release.yml,1.0848
denoland_deno__ci.yml,5.1793
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,0.041
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,2.2046
vercel_next.js__build_and_test.yml,0.7884
huggingface_transformers__stale.yml,0.6547
facebook_fbthrift__getdeps_linux.yml,1.1552
microsoft_vscode__no-package-lock-changes.yml,0.0352
n8n-io_n8n__benchmark-nightly.yml,0.0222
flutter_flutter__merge-changelog.yml,0.566
facebook_rocksdb__pr-jobs-candidate.yml,0.4616
google_dagger__release.yml,0.8952
NVIDIA_k8s-device-plugin__publish-helm.yaml,0.8307
Significant-Gravitas_AutoGPT__classic-python-checks.yml,1.1582
avelino_awesome-go__tests.yaml,0.4515
IBM_sarama__ci.yml,0.0363
avelino_awesome-go__check-for-spammy-issues.yml,0.462
huggingface_transformers__self-push-amd-mi210-caller.yml,0.0316
google_auto__ci.yml,0.0248
google_go-github__tests.yml,0.0239
huggingface_transformers__self-comment-ci.yml,0.7415
facebook_folly__oss-build-and-test.yml,2.1945
ytdl-org_youtube-dl__ci.yml,1.5617
nodejs_node__timezone-update.yml,0.0114
TheAlgorithms_Python__sphinx.yml,1.6494
ollama_ollama__release.yaml,2.7285
langgenius_dify__docker-build.yml,1.0414
tensorflow_tensorflow__update-rbe.yml,0.0183
langchain-ai_langchain__check_new_docs.yml,0.9229
tensorflow_tensorflow__update-nightly.yml,0.0201
NVIDIA_k8s-device-plugin__stale.yaml,0.3922
facebook_react-native__stale-bot.yml,0.4225
excalidraw_excalidraw__cancel.yml,0.4583
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,0.5855
oracle_opengrok__codeql-analysis.yml,2.9255
facebook_react__shared_lint.yml,0.8351
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,0.7956
huggingface_transformers__model_jobs.yml,0.4941
