file,execution_time_seconds
oracle_graal__main.yml,2.1088
huggingface_transformers__build_pr_documentation.yml,1.1788
oracle_docker-images__build-and-push-instantclient-images.yml,1.227
nodejs_node__find-inactive-tsc.yml,1.3246
yt-dlp_yt-dlp__quick-test.yml,1.3107
twbs_bootstrap__lint.yml,1.2523
electron_electron__pipeline-electron-build-and-test-and-nan.yml,1.2431
twbs_bootstrap__issue-labeled.yml,1.315
facebook_react__shared_label_core_team_prs.yml,1.7047
facebook_react__compiler_typescript.yml,1.3773
huggingface_transformers__self-past-caller.yml,1.385
electron_electron__pipeline-segment-electron-gn-check.yml,1.4985
n8n-io_n8n__e2e-reusable.yml,1.5638
Chalarangelo_30-seconds-of-code__deploy-production.yml,1.3649
denoland_deno__start_release.yml,1.1598
denoland_deno__ci.yml,1.6861
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,1.4211
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,1.3602
vercel_next.js__build_and_test.yml,2.4364
huggingface_transformers__stale.yml,1.2028
facebook_fbthrift__getdeps_linux.yml,1.5055
microsoft_vscode__no-package-lock-changes.yml,1.388
n8n-io_n8n__benchmark-nightly.yml,1.2191
flutter_flutter__merge-changelog.yml,1.2476
facebook_rocksdb__pr-jobs-candidate.yml,1.2386
google_dagger__release.yml,1.6817
NVIDIA_k8s-device-plugin__publish-helm.yaml,1.3378
Significant-Gravitas_AutoGPT__classic-python-checks.yml,1.5416
avelino_awesome-go__tests.yaml,1.3928
IBM_sarama__ci.yml,1.2901
avelino_awesome-go__check-for-spammy-issues.yml,1.3903
huggingface_transformers__self-push-amd-mi210-caller.yml,1.3305
google_auto__ci.yml,1.2407
google_go-github__tests.yml,1.2586
huggingface_transformers__self-comment-ci.yml,1.4794
facebook_folly__oss-build-and-test.yml,1.8645
ytdl-org_youtube-dl__ci.yml,1.2958
nodejs_node__timezone-update.yml,1.1864
TheAlgorithms_Python__sphinx.yml,1.2595
ollama_ollama__release.yaml,1.385
langgenius_dify__docker-build.yml,1.3369
tensorflow_tensorflow__update-rbe.yml,1.3791
langchain-ai_langchain__check_new_docs.yml,1.3297
tensorflow_tensorflow__update-nightly.yml,1.5519
NVIDIA_k8s-device-plugin__stale.yaml,1.1654
facebook_react-native__stale-bot.yml,1.1737
excalidraw_excalidraw__cancel.yml,1.1064
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,1.23
oracle_opengrok__codeql-analysis.yml,1.1866
facebook_react__shared_lint.yml,1.1325
