file,execution_time_seconds
oracle_graal__main.yml,0.0909
huggingface_transformers__build_pr_documentation.yml,0.0148
oracle_docker-images__build-and-push-instantclient-images.yml,0.0082
nodejs_node__find-inactive-tsc.yml,0.0079
yt-dlp_yt-dlp__quick-test.yml,0.0096
twbs_bootstrap__lint.yml,0.0085
electron_electron__pipeline-electron-build-and-test-and-nan.yml,0.0075
twbs_bootstrap__issue-labeled.yml,0.009
facebook_react__shared_label_core_team_prs.yml,0.0082
facebook_react__compiler_typescript.yml,0.0089
huggingface_transformers__self-past-caller.yml,0.0074
electron_electron__pipeline-segment-electron-gn-check.yml,0.008
n8n-io_n8n__e2e-reusable.yml,0.007
Chalarangelo_30-seconds-of-code__deploy-production.yml,0.0076
denoland_deno__start_release.yml,0.0068
denoland_deno__ci.yml,0.0087
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,0.0131
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,0.0102
vercel_next.js__build_and_test.yml,0.0109
huggingface_transformers__stale.yml,0.0125
facebook_fbthrift__getdeps_linux.yml,0.0097
microsoft_vscode__no-package-lock-changes.yml,0.0105
n8n-io_n8n__benchmark-nightly.yml,0.0099
flutter_flutter__merge-changelog.yml,0.01
facebook_rocksdb__pr-jobs-candidate.yml,0.0098
google_dagger__release.yml,0.0113
NVIDIA_k8s-device-plugin__publish-helm.yaml,0.0107
Significant-Gravitas_AutoGPT__classic-python-checks.yml,0.0103
avelino_awesome-go__tests.yaml,0.0114
IBM_sarama__ci.yml,0.0132
avelino_awesome-go__check-for-spammy-issues.yml,0.0097
huggingface_transformers__self-push-amd-mi210-caller.yml,0.0099
google_auto__ci.yml,0.0114
google_go-github__tests.yml,0.0113
huggingface_transformers__self-comment-ci.yml,0.0096
facebook_folly__oss-build-and-test.yml,0.0098
ytdl-org_youtube-dl__ci.yml,0.0089
nodejs_node__timezone-update.yml,0.01
TheAlgorithms_Python__sphinx.yml,0.0119
ollama_ollama__release.yaml,0.0093
langgenius_dify__docker-build.yml,0.0127
tensorflow_tensorflow__update-rbe.yml,0.0143
langchain-ai_langchain__check_new_docs.yml,0.01
tensorflow_tensorflow__update-nightly.yml,0.0099
NVIDIA_k8s-device-plugin__stale.yaml,0.0098
facebook_react-native__stale-bot.yml,0.0097
excalidraw_excalidraw__cancel.yml,0.012
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,0.0099
oracle_opengrok__codeql-analysis.yml,0.0114
facebook_react__shared_lint.yml,0.0103
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,0.01
huggingface_transformers__model_jobs.yml,0.0094
Significant-Gravitas_AutoGPT__repo-workflow-checker.yml,0.0098
huggingface_transformers__slack-report.yml,0.0102
