file,execution_time_seconds
oracle_graal__main.yml,0.4594
huggingface_transformers__build_pr_documentation.yml,0.2959
oracle_docker-images__build-and-push-instantclient-images.yml,0.306
nodejs_node__find-inactive-tsc.yml,0.3473
yt-dlp_yt-dlp__quick-test.yml,0.3168
twbs_bootstrap__lint.yml,0.2906
electron_electron__pipeline-electron-build-and-test-and-nan.yml,0.2548
twbs_bootstrap__issue-labeled.yml,0.2983
facebook_react__shared_label_core_team_prs.yml,0.309
facebook_react__compiler_typescript.yml,0.3178
huggingface_transformers__self-past-caller.yml,0.345
electron_electron__pipeline-segment-electron-gn-check.yml,0.2787
n8n-io_n8n__e2e-reusable.yml,0.3158
Chalarangelo_30-seconds-of-code__deploy-production.yml,0.3322
denoland_deno__start_release.yml,0.2976
denoland_deno__ci.yml,0.2861
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,0.3509
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,0.2493
vercel_next.js__build_and_test.yml,0.3387
huggingface_transformers__stale.yml,0.2648
facebook_fbthrift__getdeps_linux.yml,0.2459
microsoft_vscode__no-package-lock-changes.yml,0.2678
n8n-io_n8n__benchmark-nightly.yml,0.2591
flutter_flutter__merge-changelog.yml,0.2612
facebook_rocksdb__pr-jobs-candidate.yml,0.2513
google_dagger__release.yml,0.2891
NVIDIA_k8s-device-plugin__publish-helm.yaml,0.3049
Significant-Gravitas_AutoGPT__classic-python-checks.yml,0.3343
avelino_awesome-go__tests.yaml,0.2995
IBM_sarama__ci.yml,0.3469
avelino_awesome-go__check-for-spammy-issues.yml,0.277
huggingface_transformers__self-push-amd-mi210-caller.yml,0.2735
google_auto__ci.yml,0.2791
google_go-github__tests.yml,0.2728
huggingface_transformers__self-comment-ci.yml,0.2859
facebook_folly__oss-build-and-test.yml,0.2926
ytdl-org_youtube-dl__ci.yml,0.3294
nodejs_node__timezone-update.yml,0.318
TheAlgorithms_Python__sphinx.yml,0.3248
ollama_ollama__release.yaml,0.3159
langgenius_dify__docker-build.yml,0.3541
tensorflow_tensorflow__update-rbe.yml,0.3105
langchain-ai_langchain__check_new_docs.yml,0.283
tensorflow_tensorflow__update-nightly.yml,0.2972
NVIDIA_k8s-device-plugin__stale.yaml,0.2875
facebook_react-native__stale-bot.yml,0.2953
excalidraw_excalidraw__cancel.yml,0.2703
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,0.296
oracle_opengrok__codeql-analysis.yml,0.2664
facebook_react__shared_lint.yml,0.2728
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,0.2785
huggingface_transformers__model_jobs.yml,0.2882
Significant-Gravitas_AutoGPT__repo-workflow-checker.yml,0.2692
huggingface_transformers__slack-report.yml,0.2701
mrdoob_three.js__ci.yml,0.3941
excalidraw_excalidraw__size-limit.yml,0.2894
n8n-io_n8n__check-documentation-urls.yml,0.3206
freeCodeCamp_freeCodeCamp__deploy-client.yml,0.3239
langchain-ai_langchain__check_core_versions.yml,0.3962
TheAlgorithms_Python__build.yml,0.273
krahets_hello-algo__ruby.yml,0.2536
electron_electron__linux-publish.yml,0.2464
nodejs_node__tools.yml,0.2527
huggingface_transformers__self-scheduled-amd-caller.yml,0.2534
alibaba_tengine__test-ntls.yml,0.2546
freeCodeCamp_freeCodeCamp__docker-docr-cleanup.yml,0.2527
n8n-io_n8n__release-push-to-channel.yml,0.248
public-apis_public-apis__test_of_push_and_pull.yml,0.2495
facebook_react-native__publish-release.yml,0.244
facebook_watchman__release.yml,0.2669
NVIDIA_k8s-device-plugin__basic-checks.yaml,0.2609
vercel_next.js__test_e2e_deploy_release.yml,0.2952
rust-lang_rust__ci.yml,0.2622
krahets_hello-algo__c.yml,0.2469
n8n-io_n8n__ci-pull-requests.yml,0.2618
facebook_react__shared_cleanup_stale_branch_caches.yml,0.2594
n8n-io_n8n__check-run-eligibility.yml,0.2651
IBM_sarama__i386.yml,0.2559
axios_axios__codeql-analysis.yml,0.2464
alibaba_transmittable-thread-local__strong_ci.yaml,0.2404
twbs_bootstrap__docs.yml,0.2469
axios_axios__sponsors.yml,0.2467
freeCodeCamp_freeCodeCamp__curriculum-i18n-submodule.yml,0.2569
n8n-io_n8n__check-pr-title.yml,0.2597
facebook_rocksdb__benchmark-linux.yml,0.2705
huggingface_transformers__build-docker-images.yml,0.2539
n8n-io_n8n__units-tests-reusable.yml,0.2636
nodejs_node__auto-start-ci.yml,0.3422
microsoft_PowerToys__package-submissions.yml,0.2585
excalidraw_excalidraw__autorelease-excalidraw.yml,0.2553
n8n-io_n8n__e2e-tests-pr.yml,0.2668
facebook_react__compiler_prereleases_manual.yml,0.3141
facebook_react-native__monitor-new-issues.yml,0.2986
oracle_opengrok__apiary.yml,0.2955
huggingface_transformers__self-scheduled.yml,0.2958
vercel_next.js__retry_test.yml,0.2724
