file,execution_time_seconds
oracle_graal__main.yml,0.821
huggingface_transformers__build_pr_documentation.yml,0.3308
oracle_docker-images__build-and-push-instantclient-images.yml,0.3166
nodejs_node__find-inactive-tsc.yml,0.3354
yt-dlp_yt-dlp__quick-test.yml,0.4726
twbs_bootstrap__lint.yml,0.4368
electron_electron__pipeline-electron-build-and-test-and-nan.yml,0.3884
twbs_bootstrap__issue-labeled.yml,0.381
facebook_react__shared_label_core_team_prs.yml,0.3588
facebook_react__compiler_typescript.yml,0.3859
huggingface_transformers__self-past-caller.yml,0.368
electron_electron__pipeline-segment-electron-gn-check.yml,0.3884
n8n-io_n8n__e2e-reusable.yml,0.356
Chalarangelo_30-seconds-of-code__deploy-production.yml,0.3958
denoland_deno__start_release.yml,0.3982
denoland_deno__ci.yml,0.5838
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,0.6616
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,0.7
vercel_next.js__build_and_test.yml,0.5874
huggingface_transformers__stale.yml,0.8674
facebook_fbthrift__getdeps_linux.yml,0.5532
microsoft_vscode__no-package-lock-changes.yml,0.6142
n8n-io_n8n__benchmark-nightly.yml,0.7594
flutter_flutter__merge-changelog.yml,0.3937
facebook_rocksdb__pr-jobs-candidate.yml,0.381
google_dagger__release.yml,0.3465
Significant-Gravitas_AutoGPT__classic-python-checks.yml,0.3979
IBM_sarama__ci.yml,0.518
avelino_awesome-go__check-for-spammy-issues.yml,0.4899
huggingface_transformers__self-push-amd-mi210-caller.yml,0.5102
google_auto__ci.yml,0.4349
google_go-github__tests.yml,0.4463
huggingface_transformers__self-comment-ci.yml,0.4947
facebook_folly__oss-build-and-test.yml,0.4711
ytdl-org_youtube-dl__ci.yml,0.7055
nodejs_node__timezone-update.yml,0.576
TheAlgorithms_Python__sphinx.yml,0.4176
langgenius_dify__docker-build.yml,0.3733
tensorflow_tensorflow__update-rbe.yml,0.4143
langchain-ai_langchain__check_new_docs.yml,0.4015
tensorflow_tensorflow__update-nightly.yml,0.4722
facebook_react-native__stale-bot.yml,0.4836
excalidraw_excalidraw__cancel.yml,0.5002
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,0.4882
oracle_opengrok__codeql-analysis.yml,0.46
facebook_react__shared_lint.yml,0.3937
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,0.4243
huggingface_transformers__model_jobs.yml,0.448
Significant-Gravitas_AutoGPT__repo-workflow-checker.yml,0.4719
huggingface_transformers__slack-report.yml,0.4352
mrdoob_three.js__ci.yml,0.4312
