file,execution_time_seconds
oracle_graal__main.yml,0.1481
huggingface_transformers__build_pr_documentation.yml,0.1401
oracle_docker-images__build-and-push-instantclient-images.yml,0.1731
nodejs_node__find-inactive-tsc.yml,0.1491
yt-dlp_yt-dlp__quick-test.yml,0.1303
twbs_bootstrap__lint.yml,0.1454
electron_electron__pipeline-electron-build-and-test-and-nan.yml,0.2121
twbs_bootstrap__issue-labeled.yml,0.1646
facebook_react__shared_label_core_team_prs.yml,0.1278
facebook_react__compiler_typescript.yml,0.1329
huggingface_transformers__self-past-caller.yml,0.1298
electron_electron__pipeline-segment-electron-gn-check.yml,0.1318
n8n-io_n8n__e2e-reusable.yml,0.14
Chalarangelo_30-seconds-of-code__deploy-production.yml,0.1301
denoland_deno__start_release.yml,0.1563
denoland_deno__ci.yml,0.1411
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,0.1319
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,0.1292
vercel_next.js__build_and_test.yml,0.1631
huggingface_transformers__stale.yml,0.1238
facebook_fbthrift__getdeps_linux.yml,0.1428
microsoft_vscode__no-package-lock-changes.yml,0.1283
n8n-io_n8n__benchmark-nightly.yml,0.127
flutter_flutter__merge-changelog.yml,0.1233
facebook_rocksdb__pr-jobs-candidate.yml,0.1307
google_dagger__release.yml,0.1314
NVIDIA_k8s-device-plugin__publish-helm.yaml,0.1304
Significant-Gravitas_AutoGPT__classic-python-checks.yml,0.1324
avelino_awesome-go__tests.yaml,0.1297
IBM_sarama__ci.yml,0.1221
avelino_awesome-go__check-for-spammy-issues.yml,0.1327
huggingface_transformers__self-push-amd-mi210-caller.yml,0.1282
google_auto__ci.yml,0.1349
google_go-github__tests.yml,0.1339
huggingface_transformers__self-comment-ci.yml,0.1469
facebook_folly__oss-build-and-test.yml,0.1395
ytdl-org_youtube-dl__ci.yml,0.1412
nodejs_node__timezone-update.yml,0.1293
TheAlgorithms_Python__sphinx.yml,0.1218
ollama_ollama__release.yaml,0.1787
langgenius_dify__docker-build.yml,0.1323
tensorflow_tensorflow__update-rbe.yml,0.126
langchain-ai_langchain__check_new_docs.yml,0.1291
tensorflow_tensorflow__update-nightly.yml,0.1345
NVIDIA_k8s-device-plugin__stale.yaml,0.13
facebook_react-native__stale-bot.yml,0.1286
excalidraw_excalidraw__cancel.yml,0.1283
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,0.1337
oracle_opengrok__codeql-analysis.yml,0.1267
facebook_react__shared_lint.yml,0.1302
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,0.1276
huggingface_transformers__model_jobs.yml,0.1337
Significant-Gravitas_AutoGPT__repo-workflow-checker.yml,0.1259
huggingface_transformers__slack-report.yml,0.1305
mrdoob_three.js__ci.yml,0.1275
excalidraw_excalidraw__size-limit.yml,0.1243
n8n-io_n8n__check-documentation-urls.yml,0.123
freeCodeCamp_freeCodeCamp__deploy-client.yml,0.141
langchain-ai_langchain__check_core_versions.yml,0.1447
TheAlgorithms_Python__build.yml,0.136
krahets_hello-algo__ruby.yml,0.13
electron_electron__linux-publish.yml,0.1349
nodejs_node__tools.yml,0.1377
huggingface_transformers__self-scheduled-amd-caller.yml,0.1292
alibaba_tengine__test-ntls.yml,0.1652
freeCodeCamp_freeCodeCamp__docker-docr-cleanup.yml,0.1423
n8n-io_n8n__release-push-to-channel.yml,0.1591
public-apis_public-apis__test_of_push_and_pull.yml,0.1705
facebook_react-native__publish-release.yml,0.1653
facebook_watchman__release.yml,0.173
NVIDIA_k8s-device-plugin__basic-checks.yaml,0.125
vercel_next.js__test_e2e_deploy_release.yml,0.1335
rust-lang_rust__ci.yml,0.1338
krahets_hello-algo__c.yml,0.1339
n8n-io_n8n__ci-pull-requests.yml,0.232
