tool,capability,line,column,message,verdict
frizbee,pinning-check,20,N/A,actions/checkout@v4,TP
frizbee,pinning-check,23,N/A,actions/setup-java@v4,TP
frizbee,pinning-check,37,N/A,actions/checkout@v4,TP
frizbee,pinning-check,40,N/A,actions/setup-java@v4,TP
frizbee,pinning-check,49,N/A,actions/upload-artifact@v4,TP
frizbee,pinning-check,58,N/A,actions/checkout@v4,TP
frizbee,pinning-check,61,N/A,actions/setup-java@v4,TP
frizbee,pinning-check,73,N/A,actions/checkout@v4,TP
frizbee,pinning-check,99,N/A,actions/checkout@v4,TP
frizbee,pinning-check,121,N/A,actions/upload-artifact@v4,TP
frizbee,pinning-check,130,N/A,actions/checkout@v4,TP
frizbee,pinning-check,152,N/A,actions/upload-artifact@v4,TP
frizbee,pinning-check,161,N/A,actions/checkout@v4,TP
frizbee,pinning-check,183,N/A,actions/upload-artifact@v4,TP
frizbee,pinning-check,201,N/A,actions/checkout@v4,TP
frizbee,pinning-check,227,N/A,actions/upload-artifact@v4,TP
frizbee,pinning-check,245,N/A,actions/checkout@v4,TP
frizbee,pinning-check,270,N/A,actions/upload-artifact@v4,TP
frizbee,pinning-check,282,N/A,actions/checkout@v4,TP
frizbee,pinning-check,285,N/A,actions/download-artifact@v4,TP
frizbee,pinning-check,291,N/A,actions/download-artifact@v4,TP
frizbee,pinning-check,306,N/A,actions/upload-artifact@v4,TP
frizbee,pinning-check,318,N/A,actions/checkout@v4,TP
frizbee,pinning-check,321,N/A,actions/download-artifact@v4,TP
frizbee,pinning-check,327,N/A,actions/download-artifact@v4,TP
frizbee,pinning-check,342,N/A,actions/upload-artifact@v4,TP
frizbee,pinning-check,354,N/A,actions/checkout@v4,TP
frizbee,pinning-check,357,N/A,actions/download-artifact@v4,TP
frizbee,pinning-check,363,N/A,actions/download-artifact@v4,TP
frizbee,pinning-check,378,N/A,actions/upload-artifact@v4,TP
frizbee,pinning-check,390,N/A,actions/checkout@v4,TP
