tool,capability,line,column,message,verdict
frizbee,pinning-check,21,N/A,actions/checkout@v4,TP
frizbee,pinning-check,26,N/A,actions/setup-node@v4,TP
frizbee,pinning-check,36,N/A,ffurrer2/extract-release-notes@v2,TP
frizbee,pinning-check,41,N/A,rickstaa/action-create-tag@v1,TP
frizbee,pinning-check,51,N/A,ncipollo/release-action@v1,TP
frizbee,pinning-check,67,N/A,actions/checkout@v4,TP
frizbee,pinning-check,75,N/A,actions/setup-node@v4,TP
pinny,pinning-check,33,N/A,martinbeentjes/npm-get-version-action@main,TP
semgrep,injection-check,84,N/A,"Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR"".",TP
scorecard,pinning-check,N/A,N/A,dependency not pinned by hash detected -- score normalized to 3,TP
scorecard,automatic-hardening-check,N/A,N/A,no SAST tool detected,TP
scorecard,permissions-check,N/A,N/A,detected GitHub workflow tokens with excessive permissions,TP
poutine,injection-check,84,N/A,Sources: github.event.inputs.tag || github.event.release.tag_name,TP
scharf,pinning-check,21,15,Unpinned GitHub Action: uses `actions/checkout@v4`,TP
scharf,pinning-check,26,15,Unpinned GitHub Action: uses `actions/setup-node@v4`,TP
scharf,pinning-check,33,15,Unpinned GitHub Action: uses `martinbeentjes/npm-get-version-action@main`,TP
scharf,pinning-check,36,15,Unpinned GitHub Action: uses `ffurrer2/extract-release-notes@v2`,TP
scharf,pinning-check,41,15,Unpinned GitHub Action: uses `rickstaa/action-create-tag@v1`,TP
scharf,pinning-check,51,15,Unpinned GitHub Action: uses `ncipollo/release-action@v1`,TP
scharf,pinning-check,67,15,Unpinned GitHub Action: uses `actions/checkout@v4`,TP
scharf,pinning-check,75,15,Unpinned GitHub Action: uses `actions/setup-node@v4`,TP
zizmor,artifact-Integrity-check,21,9,credential persistence through GitHub Actions artifacts,TP
zizmor,artifact-Integrity-check,67,9,credential persistence through GitHub Actions artifacts,TP
zizmor,permissions-check,1,1,overly broad permissions,FP
zizmor,permissions-check,51,9,overly broad permissions,TP
actionlint,workflow_structural_check,84,63,"property ""tag"" is not defined in object type {} [expression]",TP
