tool,capability,line,column,message,verdict
frizbee,pinning-check,36,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,42,N/A,actions/setup-python@v5,TP
frizbee,pinning-check,72,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,84,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,106,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,123,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,140,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,156,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,170,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,182,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,196,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,222,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,237,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,248,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,260,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,272,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,286,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,293,N/A,actions/upload-artifact@v4.0.0,TP
frizbee,pinning-check,305,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,319,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,332,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,344,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,356,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,368,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,379,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,380,N/A,maxim-lobanov/setup-xcode@v1.6.0,TP
frizbee,pinning-check,397,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,398,N/A,maxim-lobanov/setup-xcode@v1.6.0,TP
frizbee,pinning-check,424,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,490,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,491,N/A,maxim-lobanov/setup-xcode@v1.6.0,TP
frizbee,pinning-check,512,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,513,N/A,maxim-lobanov/setup-xcode@v1.6.0,TP
frizbee,pinning-check,534,N/A,actions/checkout@v4.1.0,TP
frizbee,pinning-check,535,N/A,maxim-lobanov/setup-xcode@v1.6.0,TP
