tool,capability,line,column,message,verdict
frizbee,pinning-check,20,N/A,actions/checkout@v4,TP
frizbee,pinning-check,27,N/A,dtolnay/rust-toolchain@stable,TP
frizbee,pinning-check,130,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,138,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,146,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,154,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,162,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,170,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,178,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,186,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,194,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,202,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,210,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,218,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,226,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,234,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,242,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,250,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,258,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,266,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,274,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,282,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,290,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,298,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,306,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,314,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,322,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,330,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,338,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,346,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,354,N/A,actions/cache/restore@v4,TP
frizbee,pinning-check,362,N/A,actions/cache/save@v4,TP
frizbee,pinning-check,370,N/A,actions/cache/restore@v4,TP
