tool,capability,line,column,message,verdict
scorecard,pinning-check,N/A,N/A,dependency not pinned by hash detected -- score normalized to 6,FP
scorecard,automatic-hardening-check,N/A,N/A,no SAST tool detected,TP
scorecard,permissions-check,N/A,N/A,detected GitHub workflow tokens with excessive permissions,FP
zizmor,artifact-Integrity-check,30,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,64,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,98,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,142,9,credential persistence through GitHub Actions artifacts,FP
zizmor,artifact-Integrity-check,184,9,credential persistence through GitHub Actions artifacts,FP
zizmor,permissions-check,1,1,overly broad permissions,FP
zizmor,permissions-check,25,3,overly broad permissions,FP
zizmor,permissions-check,55,3,overly broad permissions,FP
zizmor,permissions-check,90,3,overly broad permissions,FP
zizmor,permissions-check,131,3,overly broad permissions,FP
zizmor,permissions-check,175,3,overly broad permissions,FP
zizmor,permissions-check,217,3,overly broad permissions,FP
