tool,rule,detections
actionlint,expression,23
actionlint,if-cond,1
actionlint,deprecated-commands,5
actionlint,action,158
actionlint,runner-label,101
actionlint,workflow-call,67
actionlint,expression,35
actionlint,events,19
actionlint,syntax-check,6
actionlint,matrix,1
frizbee,unpinned-github-actions,2251
ggshield,Secrets detection,1
pinny,unpinned-github-actions,2285
poutine,untrusted_checkout_exec,38
poutine,if_always_true,1
poutine,injection,24
poutine,unverified_script_exec,16
poutine,known_vulnerability_in_build_component,90
poutine,default_permissions_on_risky_events,19
poutine,job_all_secrets,2
poutine,pr_runs_on_self_hosted,46
scharf,unpinned-github-actions,2307
scorecard,SAST,585
scorecard,Dangerous-Workflow,1
scorecard,Token-Permissions,486
scorecard,Pinned-Dependencies,2512
semgrep,run-shell-injection,105
zizmor,artipacked,731
zizmor,cache-poisoning,7
zizmor,template-injection,292
zizmor,github-env,12
zizmor,excessive-permissions,689
zizmor,unpinned-uses,474
zizmor,unpinned-images,35
zizmor,secrets-inherit,144
zizmor,overprovisioned-secrets,5
zizmor,dangerous-triggers,50
