tool,capability,FP,TP,total,precision
actionlint,pinning-check,0,4,4,1.0
actionlint,workflow_structural_check,0,31,31,1.0
frizbee,pinning-check,0,358,358,1.0
ggshield,secret-detection,0,1,1,1.0
pinny,pinning-check,0,5,5,1.0
poutine,injection-check,0,11,11,1.0
poutine,trigger-permissions-check,0,30,30,1.0
semgrep,injection-check,0,11,11,1.0
scorecard,automatic-hardening-check,0,16,16,1.0
scharf,pinning-check,1,358,359,0.9972144846796658
poutine,known_vulnerability-check,2,24,26,0.9230769230769231
zizmor,secrets-check,1,9,10,0.9
scorecard,pinning-check,2,10,12,0.8333333333333334
scorecard,permissions-check,8,2,10,0.2
zizmor,artifact-Integrity-check,101,2,103,0.019417475728155338
zizmor,permissions-check,70,1,71,0.014084507042253521
zizmor,injection-check,1,0,1,0.0
