workflow,status,modified,notes
Azure_AKS__.github__workflows__codespell.yml,OK,1,modified
Azure_AKS__.github__workflows__website-check.yml,OK,0,no-change
Azure_AKS__.github__workflows__website-publish.yml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__AddLabel.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__IssueComment.yml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__ScanSecrets.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__addComment.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__addCommentOnPackagedPR.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__addCommentToRemindUpdatingTemplateVersion.yml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__addLabelOnPr.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__allowedWorkflowRun.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__arm-ttk-validations.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__aws-s3-bundle-update.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__checkAutomatedPR.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__checkPRContentChange.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__checkSkipPackagingInfo.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__cleanup-stale-branch.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__codeql-analysis.yml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__content-validations.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__convertKqlFunctionYamlToArmTemplate.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__data-connector-validations.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__detection-template-schema-validations.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__detection-validations.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__documents-link-validation.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__getSolutionName.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__hyperlinkValidator.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__json-syntax-validation.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__kql-validations.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__logo-validation.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__neworexistingsolution.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__non-ascii-validations.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__package-command.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__playbook-validations.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__pullRequestStatus.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__runAsimSchemaAndDataTesters.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__sample-data-validation.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__slash-command-armttk.yaml,OK,1,modified
Azure_Azure-Sentinel__.github__workflows__slash-command-dispatch.yaml,OK,0,no-change
Azure_Azure-Sentinel__.github__workflows__solution-validations.yaml,OK,1,modified
