workflow,total_findings,same_line_findings,diff_line_findings
facebook_sapling__.github__workflows__edenfs_linux.yml,105,0,105
facebook_sapling__.github__workflows__mononoke-integration_linux.yml,93,0,93
facebook_react__.github__workflows__runtime_build_and_test.yml,83,0,83
facebook_sapling__.github__workflows__sapling-cli-getdeps_linux.yml,81,0,81
awslabs_aws-lambda-web-adapter__.github__workflows__release.yml,78,0,78
Tencent_ncnn__.github__workflows__release.yml,77,0,77
facebook_watchman__.github__workflows__getdeps_linux.yml,75,0,75
facebook_sapling__.github__workflows__mononoke_linux.yml,69,0,69
facebook_watchman__.github__workflows__getdeps_mac.yml,69,0,69
facebook_fbthrift__.github__workflows__getdeps_python_linux.yml,68,0,68
facebook_fbthrift__.github__workflows__getdeps_python_linux_container.yml,68,0,68
facebook_watchman__.github__workflows__getdeps_windows.yml,65,0,65
facebook_proxygen__.github__workflows__getdeps_linux.yml,64,0,64
facebook_sapling__.github__workflows__mononoke_mac.yml,63,0,63
facebook_fbthrift__.github__workflows__getdeps_linux.yml,62,0,62
facebookincubator_katran__.github__workflows__getdeps_linux.yml,62,0,62
facebook_flow__.github__workflows__build_and_test.yml,59,0,59
facebook_proxygen__.github__workflows__getdeps_mac.yml,58,0,58
facebook_fbthrift__.github__workflows__getdeps_mac.yml,56,0,56
facebook_wangle__.github__workflows__getdeps_linux.yml,56,0,56
google_flatbuffers__.github__workflows__build.yml,54,0,54
facebook_fbthrift__.github__workflows__getdeps_windows.yml,52,0,52
Tencent_TNN__.github__workflows__release.yml,50,0,50
facebook_wangle__.github__workflows__getdeps_mac.yml,50,0,50
facebook_folly__.github__workflows__getdeps_linux.yml,48,0,48
facebook_folly__.github__workflows__getdeps_shared-libs_linux.yml,48,0,48
microsoft_autogen__.github__workflows__checks.yml,47,0,47
facebook_wangle__.github__workflows__getdeps_windows.yml,46,0,46
Tencent_libpag__.github__workflows__build.yml,45,0,45
microsoft_onnxruntime__.github__workflows__linux_minimal_build.yml,45,0,45
facebook_folly__.github__workflows__getdeps_mac.yml,42,0,42
facebook_folly__.github__workflows__getdeps_windows.yml,40,0,40
awslabs_mountpoint-s3__.github__workflows__tests.yml,39,0,39
microsoft_promptflow__.github__workflows__promptflow-release-testing-matrix.yml,38,0,38
NVIDIA_gpu-operator__.github__workflows__ci.yml,38,1,37
Tencent_xLua__.github__workflows__publish.yml,37,0,37
facebook_watchman__.github__workflows__release.yml,37,0,37
awslabs_aws-lambda-web-adapter__.github__workflows__merge.yml,36,0,36
facebook_rocksdb__.github__workflows__pr-jobs.yml,36,0,36
google_XNNPACK__.github__workflows__build.yml,36,0,36
microsoft_react-native-macos__.github__workflows__test-all.yml,33,0,33
facebook_react-native__.github__workflows__test-all.yml,33,2,31
Tencent_puerts__.github__workflows__unity_unittest.yml,30,0,30
Tencent_xLua__.github__workflows__build.yml,30,0,30
aws_jsii__.github__workflows__main.yml,30,0,30
microsoft_semantic-kernel__.github__workflows__python-integration-tests.yml,30,0,30
aws_s2n-tls__.github__workflows__ci_rust.yml,29,0,29
NVIDIA_Megatron-LM__.github__workflows__cicd-main.yml,28,0,28
Tencent_WeKnora__.github__workflows__docker-image.yml,28,0,28
