file,execution_time_seconds
oracle_graal__main.yml,0.3576
huggingface_transformers__build_pr_documentation.yml,0.3102
oracle_docker-images__build-and-push-instantclient-images.yml,0.2433
nodejs_node__find-inactive-tsc.yml,0.2349
yt-dlp_yt-dlp__quick-test.yml,0.2666
twbs_bootstrap__lint.yml,0.3397
electron_electron__pipeline-electron-build-and-test-and-nan.yml,0.24
twbs_bootstrap__issue-labeled.yml,0.2277
facebook_react__shared_label_core_team_prs.yml,0.1708
facebook_react__compiler_typescript.yml,0.227
huggingface_transformers__self-past-caller.yml,0.2408
electron_electron__pipeline-segment-electron-gn-check.yml,0.2281
n8n-io_n8n__e2e-reusable.yml,0.2607
Chalarangelo_30-seconds-of-code__deploy-production.yml,0.1924
denoland_deno__start_release.yml,0.2056
denoland_deno__ci.yml,0.2051
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,0.2095
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,0.2069
vercel_next.js__build_and_test.yml,0.2066
huggingface_transformers__stale.yml,0.2227
facebook_fbthrift__getdeps_linux.yml,0.2107
microsoft_vscode__no-package-lock-changes.yml,0.2943
n8n-io_n8n__benchmark-nightly.yml,0.2081
flutter_flutter__merge-changelog.yml,0.2961
facebook_rocksdb__pr-jobs-candidate.yml,0.2948
google_dagger__release.yml,0.2388
NVIDIA_k8s-device-plugin__publish-helm.yaml,0.2133
Significant-Gravitas_AutoGPT__classic-python-checks.yml,0.3871
avelino_awesome-go__tests.yaml,0.3534
IBM_sarama__ci.yml,0.2647
avelino_awesome-go__check-for-spammy-issues.yml,0.3121
huggingface_transformers__self-push-amd-mi210-caller.yml,0.3011
google_auto__ci.yml,0.3357
google_go-github__tests.yml,0.3008
huggingface_transformers__self-comment-ci.yml,0.3236
facebook_folly__oss-build-and-test.yml,0.3257
ytdl-org_youtube-dl__ci.yml,0.3037
nodejs_node__timezone-update.yml,0.3247
TheAlgorithms_Python__sphinx.yml,0.3319
ollama_ollama__release.yaml,0.3765
langgenius_dify__docker-build.yml,0.356
tensorflow_tensorflow__update-rbe.yml,0.3031
langchain-ai_langchain__check_new_docs.yml,0.2899
tensorflow_tensorflow__update-nightly.yml,0.3124
NVIDIA_k8s-device-plugin__stale.yaml,0.4378
facebook_react-native__stale-bot.yml,0.2281
excalidraw_excalidraw__cancel.yml,0.305
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,0.244
oracle_opengrok__codeql-analysis.yml,0.2058
facebook_react__shared_lint.yml,0.2154
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,0.3002
huggingface_transformers__model_jobs.yml,0.2666
Significant-Gravitas_AutoGPT__repo-workflow-checker.yml,0.1678
huggingface_transformers__slack-report.yml,0.2018
mrdoob_three.js__ci.yml,0.2053
excalidraw_excalidraw__size-limit.yml,0.207
n8n-io_n8n__check-documentation-urls.yml,0.1921
freeCodeCamp_freeCodeCamp__deploy-client.yml,0.2187
langchain-ai_langchain__check_core_versions.yml,0.2099
TheAlgorithms_Python__build.yml,0.2593
krahets_hello-algo__ruby.yml,0.2582
electron_electron__linux-publish.yml,0.1873
nodejs_node__tools.yml,0.2104
huggingface_transformers__self-scheduled-amd-caller.yml,0.2472
alibaba_tengine__test-ntls.yml,0.2063
freeCodeCamp_freeCodeCamp__docker-docr-cleanup.yml,0.1899
n8n-io_n8n__release-push-to-channel.yml,0.232
public-apis_public-apis__test_of_push_and_pull.yml,0.2683
facebook_react-native__publish-release.yml,0.2317
facebook_watchman__release.yml,0.2466
NVIDIA_k8s-device-plugin__basic-checks.yaml,0.2896
vercel_next.js__test_e2e_deploy_release.yml,0.3212
rust-lang_rust__ci.yml,0.3863
krahets_hello-algo__c.yml,0.3578
n8n-io_n8n__ci-pull-requests.yml,0.338
