file,execution_time_seconds
oracle_graal__main.yml,7.4831
huggingface_transformers__build_pr_documentation.yml,1.588
oracle_docker-images__build-and-push-instantclient-images.yml,1.6903
nodejs_node__find-inactive-tsc.yml,1.6411
yt-dlp_yt-dlp__quick-test.yml,1.6249
twbs_bootstrap__lint.yml,1.6308
electron_electron__pipeline-electron-build-and-test-and-nan.yml,1.668
twbs_bootstrap__issue-labeled.yml,1.6597
facebook_react__shared_label_core_team_prs.yml,1.699
facebook_react__compiler_typescript.yml,1.6828
huggingface_transformers__self-past-caller.yml,1.6551
electron_electron__pipeline-segment-electron-gn-check.yml,1.6476
n8n-io_n8n__e2e-reusable.yml,1.6878
Chalarangelo_30-seconds-of-code__deploy-production.yml,1.6239
denoland_deno__start_release.yml,1.7268
denoland_deno__ci.yml,2.066
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,1.6096
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,1.6708
vercel_next.js__build_and_test.yml,2.7363
huggingface_transformers__stale.yml,1.681
facebook_fbthrift__getdeps_linux.yml,2.1975
microsoft_vscode__no-package-lock-changes.yml,1.6368
n8n-io_n8n__benchmark-nightly.yml,1.6565
flutter_flutter__merge-changelog.yml,1.8803
facebook_rocksdb__pr-jobs-candidate.yml,1.6217
google_dagger__release.yml,1.7168
NVIDIA_k8s-device-plugin__publish-helm.yaml,1.8982
Significant-Gravitas_AutoGPT__classic-python-checks.yml,1.7461
avelino_awesome-go__tests.yaml,1.6729
IBM_sarama__ci.yml,1.6919
avelino_awesome-go__check-for-spammy-issues.yml,1.7412
huggingface_transformers__self-push-amd-mi210-caller.yml,1.712
google_auto__ci.yml,1.6161
google_go-github__tests.yml,1.66
huggingface_transformers__self-comment-ci.yml,1.8066
facebook_folly__oss-build-and-test.yml,1.5191
ytdl-org_youtube-dl__ci.yml,1.8854
nodejs_node__timezone-update.yml,1.5694
TheAlgorithms_Python__sphinx.yml,1.6095
ollama_ollama__release.yaml,1.8867
langgenius_dify__docker-build.yml,1.6726
tensorflow_tensorflow__update-rbe.yml,1.7125
langchain-ai_langchain__check_new_docs.yml,1.67
tensorflow_tensorflow__update-nightly.yml,1.5281
NVIDIA_k8s-device-plugin__stale.yaml,1.6575
facebook_react-native__stale-bot.yml,1.5828
excalidraw_excalidraw__cancel.yml,1.7184
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,1.6457
oracle_opengrok__codeql-analysis.yml,1.5723
facebook_react__shared_lint.yml,1.579
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,1.6538
huggingface_transformers__model_jobs.yml,1.6196
Significant-Gravitas_AutoGPT__repo-workflow-checker.yml,1.6513
huggingface_transformers__slack-report.yml,1.6049
mrdoob_three.js__ci.yml,1.5956
excalidraw_excalidraw__size-limit.yml,1.7226
n8n-io_n8n__check-documentation-urls.yml,1.5845
freeCodeCamp_freeCodeCamp__deploy-client.yml,1.5587
langchain-ai_langchain__check_core_versions.yml,1.6417
TheAlgorithms_Python__build.yml,1.6328
krahets_hello-algo__ruby.yml,1.7029
electron_electron__linux-publish.yml,1.5597
nodejs_node__tools.yml,2.4066
huggingface_transformers__self-scheduled-amd-caller.yml,1.5783
alibaba_tengine__test-ntls.yml,1.6428
freeCodeCamp_freeCodeCamp__docker-docr-cleanup.yml,1.6605
n8n-io_n8n__release-push-to-channel.yml,1.5951
public-apis_public-apis__test_of_push_and_pull.yml,1.702
facebook_react-native__publish-release.yml,1.6827
facebook_watchman__release.yml,1.9155
NVIDIA_k8s-device-plugin__basic-checks.yaml,1.5915
vercel_next.js__test_e2e_deploy_release.yml,1.6607
rust-lang_rust__ci.yml,1.866
krahets_hello-algo__c.yml,1.674
n8n-io_n8n__ci-pull-requests.yml,1.5609
facebook_react__shared_cleanup_stale_branch_caches.yml,1.6561
n8n-io_n8n__check-run-eligibility.yml,3.4427
IBM_sarama__i386.yml,1.7693
axios_axios__codeql-analysis.yml,2.1055
alibaba_transmittable-thread-local__strong_ci.yaml,2.0186
twbs_bootstrap__docs.yml,1.88
axios_axios__sponsors.yml,1.7267
freeCodeCamp_freeCodeCamp__curriculum-i18n-submodule.yml,1.6715
n8n-io_n8n__check-pr-title.yml,1.6875
facebook_rocksdb__benchmark-linux.yml,2.5789
huggingface_transformers__build-docker-images.yml,2.1281
n8n-io_n8n__units-tests-reusable.yml,1.9534
nodejs_node__auto-start-ci.yml,1.7259
microsoft_PowerToys__package-submissions.yml,1.5667
excalidraw_excalidraw__autorelease-excalidraw.yml,1.7549
n8n-io_n8n__e2e-tests-pr.yml,1.8589
facebook_react__compiler_prereleases_manual.yml,1.8136
facebook_react-native__monitor-new-issues.yml,1.8133
oracle_opengrok__apiary.yml,1.5377
huggingface_transformers__self-scheduled.yml,2.1635
vercel_next.js__retry_test.yml,1.7567
nodejs_node__coverage-linux.yml,1.9484
facebook_watchman__package.yml,1.9638
facebook_react-native__test-libraries-on-nightlies.yml,1.854
nodejs_node__close-stale-feature-requests.yml,1.6103
goldbergyoni_nodebestpractices__automerge-prs.yml,1.5902
Significant-Gravitas_AutoGPT__classic-forge-ci.yml,1.695
twbs_bootstrap__css.yml,1.837
oracle_graal__quarkus.yml,1.6791
flutter_flutter__content-aware-hash.yml,1.7932
vercel_next.js__build_reusable.yml,1.6694
google_blockly__assign_reviewers.yml,1.9262
huggingface_transformers__self-scheduled-caller.yml,1.6722
avelino_awesome-go__site-deploy.yaml,1.7713
huggingface_transformers__add-model-like.yml,1.7135
Significant-Gravitas_AutoGPT__platform-autgpt-deploy-prod.yml,1.7404
denoland_deno__promote_to_release.yml,1.8888
electron_electron__pipeline-electron-lint.yml,1.9966
Significant-Gravitas_AutoGPT__classic-autogpt-docker-cache-clean.yml,1.8597
huggingface_transformers__update_metdata.yml,1.7108
freeCodeCamp_freeCodeCamp__i18n-validate-builds.yml,1.8952
facebook_create-react-app__lint.yml,1.9086
vercel_next.js__code_freeze.yml,1.7748
electron_electron__build-git-cache.yml,1.7656
nodejs_node__update-wpt.yml,1.8042
huggingface_transformers__model_jobs_intel_gaudi.yml,1.8845
facebook_mcrouter__build.yml,1.7109
nodejs_node__update-release-links.yml,1.7801
tensorflow_tensorflow__cffconvert.yml,2.016
krahets_hello-algo__python.yml,1.7541
facebook_react-native__autorebase.yml,2.5639
axios_axios__publish.yml,1.8532
vercel_next.js__trigger_release.yml,2.0816
oracle_opengrok__release.yml,2.0799
IBM_sarama__apidiff.yml,2.0243
huggingface_transformers__build-nightly-ci-docker-images.yml,1.7499
facebook_react-native__on-issue-labeled.yml,1.9508
vercel_next.js__graphite_ci_optimizer.yml,1.9927
nodejs_node__create-release-proposal.yml,1.9541
krahets_hello-algo__java.yml,2.0614
nodejs_node__test-macos.yml,1.6414
freeCodeCamp_freeCodeCamp__crowdin-download.client-ui.yml,1.8738
NVIDIA_k8s-device-plugin__e2e.yaml,3.0672
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,2.2407
Chalarangelo_30-seconds-of-code__stale.yml,1.8657
krahets_hello-algo__go.yml,2.1146
facebook_react__runtime_build_and_test.yml,2.082
electron_electron__issue-transferred.yml,1.6731
microsoft_TypeScript__pr-modified-files.yml,1.6163
krahets_hello-algo__dart.yml,1.6594
langgenius_dify__db-migration-test.yml,1.628
huggingface_transformers__check_failed_tests.yml,1.6094
langchain-ai_langchain__run_notebooks.yml,1.7279
IBM_sarama__fvt-main.yml,1.5873
vercel_next.js__test_examples.yml,1.6656
rust-lang_rust__post-merge.yml,1.6539
nodejs_node__linters.yml,1.7555
NVIDIA_cutlass__blossom-ci.yml,1.6099
facebook_watchman__getdeps_linux.yml,2.0882
microsoft_TypeScript__twoslash-repros.yaml,1.7297
freeCodeCamp_freeCodeCamp__github-autoclose.yml,1.7297
oracle_opengrok__javadoc.yml,1.8246
facebook_folly__getdeps_windows.yml,2.1358
langgenius_dify__style.yml,1.5527
facebook_facebook-android-sdk__needs-attention.yml,1.6699
huggingface_transformers__doctest_job.yml,1.7165
microsoft_TypeScript__copilot-setup-steps.yml,2.1089
yangshun_tech-interview-handbook__lint.yml,1.9849
huggingface_transformers__benchmark.yml,1.8974
Significant-Gravitas_AutoGPT__repo-stats.yml,2.2566
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,2.8853
microsoft_terminal__addToProject.yml,1.7501
google_blockly__browser_test.yml,1.6939
facebook_react__compiler_discord_notify.yml,1.9746
electron_electron__pipeline-electron-build-and-test.yml,2.1442
twbs_bootstrap__cspell.yml,1.7016
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,1.6982
microsoft_TypeScript__ci.yml,1.7067
krahets_hello-algo__rust.yml,1.5843
huggingface_transformers__doctests.yml,1.6166
denoland_deno__post_publish.yml,1.6471
electron_electron__pull-request-labeled.yml,1.5879
langchain-ai_langchain___compile_integration_test.yml,1.6179
alibaba_druid__ci.yaml,1.5944
vercel_next.js__integration_tests_reusable.yml,1.6329
yt-dlp_yt-dlp__core.yml,1.6324
electron_electron__stable-prep-items.yml,1.6493
langchain-ai_langchain___test_pydantic.yml,1.7121
avelino_awesome-go__run-check.yaml,1.8392
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,1.7213
electron_electron__macos-publish.yml,1.6878
trekhleb_javascript-algorithms__CI.yml,1.703
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,1.7311
n8n-io_n8n__test-workflows-nightly.yml,1.7479
alibaba_tengine__test-nginx-core.yml,1.7555
facebook_rocksdb__nightly.yml,1.6626
jwasham_coding-interview-university__links_checker.yml,2.0871
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,2.0176
n8n-io_n8n__notify-pr-status.yml,2.787
TheAlgorithms_Python__ruff.yml,2.3529
facebook_react__shared_check_maintainer.yml,1.7144
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,1.7161
electron_electron__pipeline-segment-node-nan-test.yml,1.7708
twbs_bootstrap__codeql.yml,2.8567
nodejs_node__license-builder.yml,1.6319
nodejs_node__label-flaky-test-issue.yml,1.6116
vercel_next.js__test-turbopack-rust-bench-test.yml,1.6286
microsoft_TypeScript__error-deltas-watchdog.yaml,1.7808
facebook_facebook-ios-sdk__stale.yml,2.0826
ossu_computer-science__delete-empty-issues.yml,1.6531
yt-dlp_yt-dlp__sanitize-comment.yml,1.7915
open-webui_open-webui__docker-build.yaml,2.0333
huggingface_transformers__self-nightly-caller.yml,1.8364
langchain-ai_langchain__people.yml,2.0201
awslabs_amazon-ecr-credential-helper__build.yaml,1.7521
langchain-ai_langchain___test_release.yml,1.8895
google_truth__ci.yml,1.8559
n8n-io_n8n__benchmark-destroy-nightly.yml,1.765
langchain-ai_langchain___test.yml,1.7028
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,1.6618
n8n-io_n8n__e2e-tests.yml,1.8122
excalidraw_excalidraw__locales-coverage.yml,1.8289
nodejs_node__close-stalled.yml,1.7228
facebook_react__runtime_prereleases.yml,1.644
vuejs_vue__ci.yml,1.8316
krahets_hello-algo__swift.yml,2.134
airbnb_javascript__require-allow-edits.yml,1.866
freeCodeCamp_freeCodeCamp__github-no-web-commits.yml,2.6699
google_blockly__welcome_new_contributors.yml,1.7724
nodejs_node__doc.yml,1.6145
microsoft_TypeScript__sync-branch.yaml,1.7107
excalidraw_excalidraw__publish-docker.yml,1.6588
flutter_flutter__labeler.yml,1.839
Genymobile_scrcpy__release.yml,2.0609
f_awesome-chatgpt-prompts__ai_bot.yml,2.0708
microsoft_vscode__monaco-editor.yml,1.715
freeCodeCamp_freeCodeCamp__github-spam.yml,1.7222
oracle_graal__micronaut.yml,1.7006
facebook_react-native__needs-attention.yml,1.7438
google_grr__publish-pypi.yml,1.6388
Chalarangelo_30-seconds-of-code__test.yml,1.6506
tensorflow_tensorflow__arm-ci-extended.yml,1.8957
rust-lang_rust__dependencies.yml,1.7787
Chalarangelo_30-seconds-of-code__label.yml,1.5843
facebook_react__runtime_discord_notify.yml,1.672
twbs_bootstrap__calibreapp-image-actions.yml,1.6789
google_grr__build.yml,2.0075
huggingface_transformers__release-conda.yml,1.7138
denoland_deno__wpt_epoch.yml,1.6587
airbnb_javascript__node.yml,1.7055
langchain-ai_langchain___lint.yml,2.0546
